generation_id,prompt_id,generator_id,seed,image_path,runtime_ms,error_type
SAFE_CULT_01_COMMON_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_SHORT_FRONT__altdiffusion-m18__s042.png,96352.475,
SAFE_CULT_01_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042.png,107487.247,
SAFE_CULT_01_COMMON_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_SHORT_BACK__altdiffusion-m18__s042.png,119575.51,
SAFE_CULT_01_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,136560.721,
SAFE_CULT_01_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,125964.65,
SAFE_CULT_01_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,124595.248,
SAFE_CULT_01_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,125862.106,
SAFE_CULT_01_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,123944.91,
SAFE_CULT_01_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_COMMON_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,122879.319,
SAFE_CULT_01_RARE_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_RARE_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_SHORT_FRONT__altdiffusion-m18__s042.png,122412.699,
SAFE_CULT_01_RARE_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_RARE_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_SHORT_MIDDLE__altdiffusion-m18__s042.png,130188.116,
SAFE_CULT_01_RARE_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_RARE_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_SHORT_BACK__altdiffusion-m18__s042.png,136721.479,
SAFE_CULT_01_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_RARE_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,136631.864,
SAFE_CULT_01_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_RARE_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,147839.468,
SAFE_CULT_01_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_RARE_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,152136.079,
SAFE_CULT_01_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_01_RARE_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,131305.757,
SAFE_CULT_01_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_01_RARE_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,184573.11,
SAFE_CULT_01_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_01_RARE_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_01_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,219884.582,
